,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_gamma,param_max_depth,param_n_estimators,param_objective,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
242,0.2037102222442627,0.0044106287905181125,0.012129640579223633,0.004250129385774437,gblinear,0.2,6,200,binary:logistic,0.5,"{'booster': 'gblinear', 'gamma': 0.2, 'max_depth': 6, 'n_estimators': 200, 'objective': 'binary:logistic', 'subsample': 0.5}",0.7781435154707044,0.7746199603436881,0.7960526315789473,0.7965310206804537,0.7882431529726119,0.786718056209281,0.009007121200834238,257
243,0.2040235996246338,0.006264088192042269,0.01154155731201172,0.0015646426246727068,gblinear,0.2,6,200,binary:logistic,1.0,"{'booster': 'gblinear', 'gamma': 0.2, 'max_depth': 6, 'n_estimators': 200, 'objective': 'binary:logistic', 'subsample': 1}",0.7781435154707044,0.7746199603436881,0.7960526315789473,0.7965310206804537,0.7882431529726119,0.786718056209281,0.009007121200834238,257
244,0.29361534118652344,0.0067155115206204985,0.01165308952331543,0.002153069535302558,gblinear,0.2,6,300,binary:logistic,0.5,"{'booster': 'gblinear', 'gamma': 0.2, 'max_depth': 6, 'n_estimators': 300, 'objective': 'binary:logistic', 'subsample': 0.5}",0.7784352399737016,0.7749174917491749,0.7947368421052632,0.7965310206804537,0.7882431529726119,0.786572749496241,0.008610155808820737,298
245,0.2920095443725586,0.005740049986552933,0.011060762405395507,0.003283086502568566,gblinear,0.2,6,300,binary:logistic,1.0,"{'booster': 'gblinear', 'gamma': 0.2, 'max_depth': 6, 'n_estimators': 300, 'objective': 'binary:logistic', 'subsample': 1}",0.7784352399737016,0.7749174917491749,0.7947368421052632,0.7965310206804537,0.7882431529726119,0.786572749496241,0.008610155808820737,298
246,0.38790369033813477,0.006195146920294451,0.012842226028442382,0.004775913338363671,gblinear,0.2,6,400,binary:logistic,0.5,"{'booster': 'gblinear', 'gamma': 0.2, 'max_depth': 6, 'n_estimators': 400, 'objective': 'binary:logistic', 'subsample': 0.5}",0.7784352399737016,0.7749174917491749,0.7947368421052632,0.7965310206804537,0.7890520694259012,0.7867345327868989,0.00864754098729697,217
247,0.3848092555999756,0.009141054636836786,0.011050939559936523,0.0018128264676711258,gblinear,0.2,6,400,binary:logistic,1.0,"{'booster': 'gblinear', 'gamma': 0.2, 'max_depth': 6, 'n_estimators': 400, 'objective': 'binary:logistic', 'subsample': 1}",0.7784352399737016,0.7749174917491749,0.7947368421052632,0.7965310206804537,0.7890520694259012,0.7867345327868989,0.00864754098729697,217
248,0.1106369972229004,0.0015261830116263262,0.011987447738647461,0.003609176736664194,gblinear,0.2,7,100,binary:logistic,0.5,"{'booster': 'gblinear', 'gamma': 0.2, 'max_depth': 7, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0.5}",0.7784352399737016,0.7777777777777778,0.7952600394996708,0.7959866220735786,0.7885256837891927,0.7871970726227844,0.007867981301260594,176
249,0.10983266830444335,0.005629586730192078,0.013048315048217773,0.001638864552263929,gblinear,0.2,7,100,binary:logistic,1.0,"{'booster': 'gblinear', 'gamma': 0.2, 'max_depth': 7, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 1}",0.7784352399737016,0.7777777777777778,0.7952600394996708,0.7959866220735786,0.7885256837891927,0.7871970726227844,0.007867981301260594,176
250,0.20468883514404296,0.005764654109163022,0.01242070198059082,0.0022484323580131355,gblinear,0.2,7,200,binary:logistic,0.5,"{'booster': 'gblinear', 'gamma': 0.2, 'max_depth': 7, 'n_estimators': 200, 'objective': 'binary:logistic', 'subsample': 0.5}",0.7781435154707044,0.7746199603436881,0.7960526315789473,0.7965310206804537,0.7882431529726119,0.786718056209281,0.009007121200834238,257
251,0.1996913433074951,0.0058196942055740025,0.01147923469543457,0.002200212054296008,gblinear,0.2,7,200,binary:logistic,1.0,"{'booster': 'gblinear', 'gamma': 0.2, 'max_depth': 7, 'n_estimators': 200, 'objective': 'binary:logistic', 'subsample': 1}",0.7781435154707044,0.7746199603436881,0.7960526315789473,0.7965310206804537,0.7882431529726119,0.786718056209281,0.009007121200834238,257
252,0.2955196380615234,0.010520633796240362,0.011787891387939453,0.002877677733175606,gblinear,0.2,7,300,binary:logistic,0.5,"{'booster': 'gblinear', 'gamma': 0.2, 'max_depth': 7, 'n_estimators': 300, 'objective': 'binary:logistic', 'subsample': 0.5}",0.7784352399737016,0.7749174917491749,0.7947368421052632,0.7965310206804537,0.7882431529726119,0.786572749496241,0.008610155808820737,298
253,0.29432997703552244,0.004929158410636699,0.012300443649291993,0.004797768723575901,gblinear,0.2,7,300,binary:logistic,1.0,"{'booster': 'gblinear', 'gamma': 0.2, 'max_depth': 7, 'n_estimators': 300, 'objective': 'binary:logistic', 'subsample': 1}",0.7784352399737016,0.7749174917491749,0.7947368421052632,0.7965310206804537,0.7882431529726119,0.786572749496241,0.008610155808820737,298
